,run,FolderName,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
1,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-4,0.8211999999999999,0.00015,0.0,0.17865,0.0005567764362829,0.0002291287847477,0.0,0.0004499999999999
2,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-C,0.13465,0.0,0.0,0.8653500000000001,0.002202839077191,0.0,0.0,0.002202839077191
3,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-3,0.9328,5e-05,0.0,0.06715,0.0002449489742783,0.00015,0.0,0.0002291287847477
0,2,Bat_1Sources_DrawNo3_r2,Bat_1Sources_DrawNo3,Bat-poo-5,0.00735,5e-05,0.0,0.9926,0.0023563743335896,0.00015,0.0,0.0022449944320643
1,2,Bat_1Sources_DrawNo3_r2,Bat_1Sources_DrawNo3,Bat-poo-4,0.8215999999999999,0.0,0.0,0.1783999999999999,0.0008,0.0,0.0,0.0008
2,2,Bat_1Sources_DrawNo3_r2,Bat_1Sources_DrawNo3,Bat-poo-C,0.1339499999999999,0.0,0.0,0.8660500000000001,0.0014908051515875,0.0,0.0,0.0014908051515875
3,2,Bat_1Sources_DrawNo3_r2,Bat_1Sources_DrawNo3,Bat-poo-3,0.9327,5e-05,0.0,0.06725,0.0005099019513592,0.00015,0.0,0.0004031128874149
0,3,Bat_1Sources_DrawNo3_r3,Bat_1Sources_DrawNo3,Bat-poo-5,0.0083,0.0,0.0,0.9917,0.0018867962264113,0.0,0.0,0.0018867962264113
1,3,Bat_1Sources_DrawNo3_r3,Bat_1Sources_DrawNo3,Bat-poo-4,0.8216999999999999,5e-05,0.0,0.1782499999999999,0.0006,0.00015,0.0,0.0006020797289396
2,3,Bat_1Sources_DrawNo3_r3,Bat_1Sources_DrawNo3,Bat-poo-C,0.1331999999999999,5e-05,0.0,0.8667499999999999,0.0016462077633154,0.00015,0.0,0.0015850867484147
3,3,Bat_1Sources_DrawNo3_r3,Bat_1Sources_DrawNo3,Bat-poo-3,0.93285,0.0,0.0,0.06715,0.0003201562118716,0.0,0.0,0.0003201562118716
0,4,Bat_1Sources_DrawNo3_r4,Bat_1Sources_DrawNo3,Bat-poo-5,0.00645,0.0,0.0,0.9935500000000002,0.0014908051515875,0.0,0.0,0.0014908051515875
1,4,Bat_1Sources_DrawNo3_r4,Bat_1Sources_DrawNo3,Bat-poo-4,0.8214499999999999,5.000000000000001e-05,0.0,0.1785,0.0006499999999999,0.00015,0.0,0.0006324555320336
2,4,Bat_1Sources_DrawNo3_r4,Bat_1Sources_DrawNo3,Bat-poo-C,0.13375,0.0,0.0,0.86625,0.0015850867484147,0.0,0.0,0.0015850867484147
3,4,Bat_1Sources_DrawNo3_r4,Bat_1Sources_DrawNo3,Bat-poo-3,0.9323999999999998,0.0001,0.0,0.0675,0.0003741657386773,0.0002,0.0,0.0003162277660168
0,5,Bat_1Sources_DrawNo3_r5,Bat_1Sources_DrawNo3,Bat-poo-5,0.00765,5e-05,0.0,0.9923,0.0017471405209656,0.00015,0.0,0.0017635192088548
1,5,Bat_1Sources_DrawNo3_r5,Bat_1Sources_DrawNo3,Bat-poo-4,0.8217000000000001,0.0,0.0,0.1782999999999999,0.0006782329983125,0.0,0.0,0.0006782329983125
2,5,Bat_1Sources_DrawNo3_r5,Bat_1Sources_DrawNo3,Bat-poo-C,0.1332,0.0,0.0,0.8668000000000001,0.001519868415357,0.0,0.0,0.001519868415357
3,5,Bat_1Sources_DrawNo3_r5,Bat_1Sources_DrawNo3,Bat-poo-3,0.93285,5e-05,0.0,0.0671,0.0004499999999999,0.00015,0.0,0.0003741657386773
0,1,Bat_1Sources_DrawNo4_r1,Bat_1Sources_DrawNo4,Bat-poo-6,0.37815,0.0,0.0,0.62185,0.005630497313737,0.0,0.0,0.005630497313737
1,1,Bat_1Sources_DrawNo4_r1,Bat_1Sources_DrawNo4,Bat-poo-5,0.0093499999999999,0.0,0.0,0.99065,0.0009233092656309,0.0,0.0,0.0009233092656309
2,1,Bat_1Sources_DrawNo4_r1,Bat_1Sources_DrawNo4,Bat-poo-4,0.84475,0.0,0.0,0.15525,0.0010547511554864,0.0,0.0,0.0010547511554864
3,1,Bat_1Sources_DrawNo4_r1,Bat_1Sources_DrawNo4,Bat-poo-C,0.0490499999999999,0.0,0.0,0.95095,0.0012539936203984,0.0,0.0,0.0012539936203984
0,2,Bat_1Sources_DrawNo4_r2,Bat_1Sources_DrawNo4,Bat-poo-6,0.37905,0.0,0.0,0.62095,0.0044297291113565,0.0,0.0,0.0044297291113565
1,2,Bat_1Sources_DrawNo4_r2,Bat_1Sources_DrawNo4,Bat-poo-5,0.0094499999999999,0.0001,0.0,0.99045,0.00056789083458,0.0002,0.0,0.0005220153254455
2,2,Bat_1Sources_DrawNo4_r2,Bat_1Sources_DrawNo4,Bat-poo-4,0.8448499999999999,0.0,0.0,0.1551499999999999,0.001001249219725,0.0,0.0,0.001001249219725
