,run,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
0,1,Bat,Bat-poo-3,0.9882000000000002,5e-05,0.0,0.0117499999999999,0.0005567764362829,0.00015,0.0,0.0005123475382979
0,2,Bat,Bat-poo-3,0.9756,0.0,0.0,0.0243999999999999,0.0004898979485566,0.0,0.0,0.0004898979485566
0,3,Bat,Bat-poo-3,0.9556,0.0,0.0,0.0443999999999999,0.0008602325267042,0.0,0.0,0.0008602325267042
0,4,Bat,Bat-poo-3,0.9573,0.00015,0.0,0.0425499999999999,0.0010295630140987,0.0003201562118716,0.0,0.0009861541461657
0,5,Bat,Bat-poo-3,0.9882,5.000000000000001e-05,0.0,0.01175,0.0015999999999999,0.00015,0.0,0.0015370426148939
0,1,Bat,Bat-poo-4,0.87415,0.00015,0.0,0.1256999999999999,0.0011191514642799,0.0003201562118716,0.0,0.0010295630140987
0,2,Bat,Bat-poo-4,0.8731500000000001,0.0001,0.0,0.12675,0.0013973188612481,0.0002,0.0,0.0013647344063956
0,3,Bat,Bat-poo-4,0.8780999999999999,5e-05,0.0,0.1218499999999999,0.0006244997998398,0.00015,0.0,0.0006344288770224
0,4,Bat,Bat-poo-4,0.8753,0.0,0.0,0.1247,0.0007141428428542,0.0,0.0,0.0007141428428542
0,5,Bat,Bat-poo-4,0.8758500000000001,5e-05,0.0,0.1240999999999999,0.0006726812023536,0.00015,0.0,0.0006244997998398
0,1,Bat,Bat-poo-5,0.0232499999999999,0.0,0.0,0.9767499999999998,0.004462342434193,0.0,0.0,0.004462342434193
0,2,Bat,Bat-poo-5,0.0209499999999999,0.0,0.0,0.97905,0.0019931131427994,0.0,0.0,0.0019931131427994
0,3,Bat,Bat-poo-5,0.0233499999999999,5e-05,0.0,0.9766,0.0030663496212923,0.00015,0.0,0.0030066592756746
